Местное время в Нижнем Тагиле;Po;P;Pa;U;DD;ff10;ff3;N
05.04.2024 20:00;735.7;759.5;0.3;90;Ветер, дующий с юго-запада;;10;100%.
05.04.2024 17:00;735.4;758.8;0.1;64;Ветер, дующий с запада;;;100%.
05.04.2024 14:00;735.3;758.5;-0.5;42;Ветер, дующий с юго-запада;;13;100%.
05.04.2024 11:00;735.8;759.1;-0.8;54;Ветер, дующий с юга;;;50%.
05.04.2024 8:00;736.6;760.5;-0.3;71;Ветер, дующий с юга;;;40%.
05.04.2024 5:00;736.9;760.9;-0.5;71;Ветер, дующий с юго-юго-востока;;;Облаков нет.
05.04.2024 2:00;737.4;761.3;-0.5;65;Ветер, дующий с юго-юго-востока;;;Облаков нет.
04.04.2024 23:00;737.9;761.7;0.0;52;Ветер, дующий с юга;;12;Облаков нет.
04.04.2024 20:00;737.9;761.5;0.4;42;Ветер, дующий с юго-запада;;12;Облаков нет.
04.04.2024 17:00;737.5;760.7;0.0;36;Ветер, дующий с юго-запада;12;13;Облаков нет.
04.04.2024 14:00;737.5;760.8;-0.1;37;Ветер, дующий с юго-запада;;;Облаков нет.
04.04.2024 11:00;737.6;761.1;0.2;47;Ветер, дующий с юго-запада;;;Облаков нет.
04.04.2024 8:00;737.4;761.2;0.2;62;Ветер, дующий с юго-запада;;;20–30%.
04.04.2024 5:00;737.2;761.0;0.8;57;Ветер, дующий с юго-запада;10;13;70 – 80%.
04.04.2024 2:00;736.4;760.0;-0.3;49;Ветер, дующий с юго-запада;12;13;100%.
03.04.2024 23:00;736.7;760.3;0.4;49;Ветер, дующий с юго-запада;;;100%.
03.04.2024 20:00;736.3;759.7;0.3;49;Ветер, дующий с юго-запада;;;70 – 80%.
03.04.2024 17:00;736.0;759.2;0.0;48;Ветер, дующий с юго-запада;;;100%.
03.04.2024 14:00;736.0;759.4;-0.2;62;Ветер, дующий с юго-запада;;;100%.
03.04.2024 11:00;736.2;760.0;0.5;81;Ветер, дующий с юго-запада;;;70 – 80%.
03.04.2024 8:00;735.7;759.7;0.5;87;Ветер, дующий с юго-запада;;;100%.
03.04.2024 5:00;735.2;759.2;0.0;85;Ветер, дующий с юго-запада;;;50%.
03.04.2024 2:00;735.2;759.1;0.3;81;Ветер, дующий с юго-запада;;;40%.
02.04.2024 23:00;734.9;758.6;0.2;74;Ветер, дующий с юго-запада;;10;60%.
02.04.2024 20:00;734.7;758.3;-0.8;69;Ветер, дующий с юго-запада;;10;100%.
02.04.2024 17:00;735.5;759.0;-1.1;55;Ветер, дующий с юго-юго-запада;;;100%.
02.04.2024 14:00;736.6;760.3;-1.6;55;Ветер, дующий с юго-юго-запада;;;100%.
02.04.2024 11:00;738.2;762.4;-1.3;78;Ветер, дующий с юга;;;100%.
02.04.2024 8:00;739.5;764.0;-0.9;89;Ветер, дующий с юга;;;100%.
02.04.2024 5:00;740.4;764.9;-0.4;88;Ветер, дующий с юго-юго-запада;;;100%.
02.04.2024 2:00;740.8;765.7;-0.1;95;Штиль, безветрие;;;70 – 80%.
01.04.2024 23:00;740.9;765.4;0.9;86;Ветер, дующий с западо-юго-запада;;;70 – 80%.
01.04.2024 20:00;740.0;764.4;1.0;80;Ветер, дующий с запада;;;100%.
01.04.2024 17:00;739.0;763.3;01.мар;75;Ветер, дующий с западо-северо-запада;;13;70 – 80%.
01.04.2024 14:00;737.7;761.8;0.5;74;Ветер, дующий с запада;11;;100%.
01.04.2024 11:00;737.2;761.5;0.8;85;Ветер, дующий с запада;;;100%.
01.04.2024 8:00;736.4;760.8;0.2;90;Ветер, дующий с западо-юго-запада;;;100%.
01.04.2024 5:00;736.2;760.6;-0.1;93;Ветер, дующий с юго-запада;;;100%.
01.04.2024 2:00;736.3;760.7;-0.7;93;Ветер, дующий с западо-юго-запада;;;100%.
